mol_id,lead_idx,mat_file,lead_smiles
22,23,FRCSO_N100_DDProblem1_M2_D_23.mat,CCCc1ccc(C(=O)N[C@@H](C)c2cccc(S(=O)(=O)NC)c2)cc1
23,24,FRCSO_N100_DDProblem1_M2_D_24.mat,CN(C(=O)CSc1nc2cc(Cl)ccc2o1)C1(C#N)CCCCC1
24,25,FRCSO_N100_DDProblem1_M2_D_25.mat,O=C(COc1ncnc2ccc(Br)cc12)Nc1ccccc1Cl
25,26,FRCSO_N100_DDProblem1_M2_D_26.mat,COc1cccc(CN2CC=CC[C@@H](C3CC[NH+](Cc4ccccn4)CC3)C2=O)c1
26,27,FRCSO_N100_DDProblem1_M2_D_27.mat,N#CCCCCNC(=O)N[C@@H](c1ccccc1F)C1CCCC1
27,28,FRCSO_N100_DDProblem1_M2_D_28.mat,N#CC1=C(N)OC2=C(C(=O)CCC2)[C@H]1[C@@H]1CC=CCC1
28,29,FRCSO_N100_DDProblem1_M2_D_29.mat,C[C@@H]1CCCC/C1=N/NC(=O)CCC(=O)Nc1ccccc1Br
29,30,FRCSO_N100_DDProblem1_M2_D_30.mat,O=C(Nc1cccc(N2CCCNC2=O)c1)C(=O)N1CCc2cc(F)ccc2C1
30,31,FRCSO_N100_DDProblem1_M2_D_31.mat,C[C@@H](c1ccc([S@](C)=O)cc1)N(C)C(=O)c1cc2cccc(F)c2o1
31,32,FRCSO_N100_DDProblem1_M2_D_32.mat,COc1ccc(N2CCN(C(=O)COC(=O)c3ccc(C)c(C)c3)CC2)cc1
32,33,FRCSO_N100_DDProblem1_M2_D_33.mat,C[C@@H](c1ccccc1F)S(=O)(=O)Cc1cccc(C(F)(F)F)c1
33,34,FRCSO_N100_DDProblem1_M2_D_34.mat,CC[NH+]1CCC2(CC1)OC[C@H](C(=O)[O-])N2C(=O)c1ccc(F)cc1
34,35,FRCSO_N100_DDProblem1_M2_D_35.mat,CCOC[C@H]1CC[NH+](Cc2ccc(-c3nc4ccccc4s3)o2)C1
35,36,FRCSO_N100_DDProblem1_M2_D_36.mat,Cc1ccc(S(=O)(=O)N2CCC(C(=O)N3CCCc4ccccc43)CC2)cc1C
36,37,FRCSO_N100_DDProblem1_M2_D_37.mat,Cc1sc(NC(=O)Cc2ccc(F)cc2)nc1-c1ccc(F)cc1
37,38,FRCSO_N100_DDProblem1_M2_D_38.mat,C[C@H]1CCC[C@@]([NH3+])([C@@H]2CCOC3(CCCC3)C2)[C@@H]1C
38,39,FRCSO_N100_DDProblem1_M2_D_39.mat,CC(=O)C1=CC[C@H]2[C@H]3CCC4=CC(=O)CC[C@@]4(C)[C@@H]3C(=O)C[C@]12C
39,40,FRCSO_N100_DDProblem1_M2_D_40.mat,Cc1nc(C(C)C)sc1C(=O)N(Cc1cccs1)[C@H]1CCS(=O)(=O)C1
40,41,FRCSO_N100_DDProblem1_M2_D_41.mat,C[NH+]1CCC(C[NH+](C)C2CCC(c3ccc(O)cc3)CC2)CC1
41,42,FRCSO_N100_DDProblem1_M2_D_42.mat,COCCOc1ccc(NC(=O)N2C[C@@H](CO)CC[C@@H]2C)cc1F
42,43,FRCSO_N100_DDProblem1_M2_D_43.mat,CCOc1ccc(CN2CC[NH2+][C@H](C(=O)[O-])C2)c(OCC)c1C
43,44,FRCSO_N100_DDProblem1_M2_D_44.mat,CN(C[C@@H]1CC[NH+](C)C1)C(=O)NCc1ccnc(OCC(F)F)c1
44,45,FRCSO_N100_DDProblem1_M2_D_45.mat,C[C@H](C(=O)OCC(=O)N(C)[C@@H]1CCCc2ccccc21)c1cccs1
45,46,FRCSO_N100_DDProblem1_M2_D_46.mat,C[C@H]1CN(S(=O)(=O)CC[NH2+]Cc2ccc(C(C)(C)C)cc2)C[C@@H](C)O1
46,47,FRCSO_N100_DDProblem1_M2_D_47.mat,CC[C@H](C)[NH2+]Cc1ccc(N(C)C)cc1
47,48,FRCSO_N100_DDProblem1_M2_D_48.mat,O=C(CCC1CCCCC1)NNC(=O)[C@@H](O)c1ccccc1
48,49,FRCSO_N100_DDProblem1_M2_D_49.mat,COc1ccccc1/C=C/C[NH+]1CCN(CCO)CC1
49,50,FRCSO_N100_DDProblem1_M2_D_50.mat,COc1ccc(CN2CCN(C(=O)C34CC5CC(CC(C5)C3)C4)CCC2=O)cc1
50,51,FRCSO_N100_DDProblem1_M2_D_51.mat,CC(C)(C)C(=O)N1CCC[NH+](C[C@H](O)COCc2ccccc2Cl)CC1
51,52,FRCSO_N100_DDProblem1_M2_D_52.mat,C=CCn1c(=O)c2c(nc3n2[C@H](C)C(C)=NN3C)n(C)c1=O
52,53,FRCSO_N100_DDProblem1_M2_D_53.mat,COc1ccc(C(=O)CCCC2OCC(C)(C)CO2)cc1OC
53,54,FRCSO_N100_DDProblem1_M2_D_54.mat,COc1ccccc1[C@@H](NC(=O)c1ccc2nncn2c1)C(C)(C)C
54,55,FRCSO_N100_DDProblem1_M2_D_55.mat,C#CCN(CC(=O)[O-])C(=O)N(C)[C@H](C)c1cccs1
55,56,FRCSO_N100_DDProblem1_M2_D_56.mat,CCc1c(C(=O)Nc2ccc3c(c2)NC(=O)CS3)[nH]c(C)c1C(C)=O
56,57,FRCSO_N100_DDProblem1_M2_D_57.mat,Cc1cc(F)ccc1S(=O)(=O)Nc1ccc2oc(C)c(C(=O)[O-])c2c1
57,58,FRCSO_N100_DDProblem1_M2_D_58.mat,C[NH+](C)CCOc1ccc(CNC(=O)[C@@H]2COc3ccc(F)cc3C2)cc1
58,59,FRCSO_N100_DDProblem1_M2_D_59.mat,COc1ccccc1N1C[C@@H](C(=O)NN2C(=O)NC3(CCCCC3)C2=O)CC1=O
59,60,FRCSO_N100_DDProblem1_M2_D_60.mat,O=C([O-])[C@H]1C=C[C@H](NS(=O)(=O)c2ccc3c(c2)CCO3)C1
60,61,FRCSO_N100_DDProblem1_M2_D_61.mat,CC(C)(C)NC(=O)CNC(=O)Nc1cnn(CC(F)F)c1
61,62,FRCSO_N100_DDProblem1_M2_D_62.mat,CCCN(C(=O)c1ccc(CNC(C)=O)cc1)c1cccc2ccccc12
62,63,FRCSO_N100_DDProblem1_M2_D_63.mat,Cc1c(NP(=O)(C(C)(C)C)C(C)(C)C)c(=O)n(-c2ccccc2)n1C
63,64,FRCSO_N100_DDProblem1_M2_D_64.mat,CCc1nn(C)cc1NC(=O)NCc1ccccc1OCCO
64,65,FRCSO_N100_DDProblem1_M2_D_65.mat,O=C(Nc1ccc2c(c1)COC2)C(=O)N[C@@H]1CCOC2(CCCCC2)C1
65,66,FRCSO_N100_DDProblem1_M2_D_66.mat,CCOC(=O)C1=C(C)NC(=O)N[C@H]1c1cc(OC)ccc1O
66,67,FRCSO_N100_DDProblem1_M2_D_67.mat,O=C(N[C@H]1CC(=O)N(c2cccc(F)c2)C1)c1cc2ccccc2oc1=O
67,68,FRCSO_N100_DDProblem1_M2_D_68.mat,COc1ccccc1NC(=O)c1cc2c(cc1Cl)N1CCCCCC1=NS2(=O)=O
68,69,FRCSO_N100_DDProblem1_M2_D_69.mat,O=C1N(Cc2cccc(F)c2)c2ccccc2[C@]1(O)c1cccc(F)c1
69,70,FRCSO_N100_DDProblem1_M2_D_70.mat,COc1cccc([C@@H](C)[NH2+]CCOc2ncccc2Cl)c1
70,71,FRCSO_N100_DDProblem1_M2_D_71.mat,O=C(/C=C/c1ccco1)N1CC[C@@H]2CCCC[C@@H]21
71,72,FRCSO_N100_DDProblem1_M2_D_72.mat,CC(=O)c1ccc(Oc2ccc(C(=O)NC[C@H]3CC[NH+](C)C3)cc2)cc1
72,73,FRCSO_N100_DDProblem1_M2_D_73.mat,Cc1ccccc1Nc1nc(N)nc(COc2ccc(F)c(Cl)c2)n1
73,74,FRCSO_N100_DDProblem1_M2_D_74.mat,CNC(=O)c1nn(CN2CCN(c3cccc(C)c3C)CC2)c(=O)c2ccccc12
74,75,FRCSO_N100_DDProblem1_M2_D_75.mat,NC(=O)c1c(F)cccc1Nc1cccc(N)c1
75,76,FRCSO_N100_DDProblem1_M2_D_76.mat,Cc1ccc(C2=NN(C(=O)C[NH+]3CCC4(CC3)OCCO4)[C@H](c3ccccc3Cl)C2)c(C)c1
76,77,FRCSO_N100_DDProblem1_M2_D_77.mat,COc1cccc(O[C@@H]2CC[C@H]([NH3+])C2)n1
77,78,FRCSO_N100_DDProblem1_M2_D_78.mat,CS(=O)(=O)c1ccc(F)c(S(=O)(=O)[N-]c2cccc(NC(=O)C3CC3)c2)c1
78,79,FRCSO_N100_DDProblem1_M2_D_79.mat,Cc1nnc(Cc2ccc(NC(=O)c3ccc(N4CCOCC4)cc3)cc2)o1
79,80,FRCSO_N100_DDProblem1_M2_D_80.mat,O=C(NC1CCCCCC1)N[C@H]1CCSc2c(F)cccc21
80,81,FRCSO_N100_DDProblem1_M2_D_81.mat,CC(C)C[NH2+]C[C@H]1CCCO[C@H]1[C@H]1CC=CCC1
81,82,FRCSO_N100_DDProblem1_M2_D_82.mat,O=C(NCCCN1CCOCC1)c1nc(-c2cnccn2)no1
82,83,FRCSO_N100_DDProblem1_M2_D_83.mat,CN1CCN(S(=O)(=O)c2cc(C(=O)Nc3ccc(Cl)c(Cl)c3)ccc2F)CC1
83,84,FRCSO_N100_DDProblem1_M2_D_84.mat,Cc1ccc([C@]2(C)NC(=O)N(CC(=O)Nc3cccc(OC(F)(F)F)c3)C2=O)cc1
84,85,FRCSO_N100_DDProblem1_M2_D_85.mat,O=C([O-])c1ccc(-c2ccncc2)cn1
85,86,FRCSO_N100_DDProblem1_M2_D_86.mat,Cc1sc2ncn(CC(=O)N[C@@H](c3ccccc3)C(C)C)c(=O)c2c1C
86,87,FRCSO_N100_DDProblem1_M2_D_87.mat,C[C@H](NC(=O)c1cc(-c2ccco2)[nH]n1)c1ccc(Cl)s1
87,88,FRCSO_N100_DDProblem1_M2_D_88.mat,COc1ccc(C[NH+]2CCc3nnc([C@@H](C)NC(=O)C(C)C)n3CC2)cc1OC
88,89,FRCSO_N100_DDProblem1_M2_D_89.mat,CCCCn1c(N)c(N(C)C(=O)CSc2ccc(F)cc2)c(=O)[nH]c1=O
89,90,FRCSO_N100_DDProblem1_M2_D_90.mat,O=C(Cl)COc1ccc2c(c1)CCC2
90,91,FRCSO_N100_DDProblem1_M2_D_91.mat,CCN(CCc1nccs1)C(=O)Nc1cncc2ccccc12
91,92,FRCSO_N100_DDProblem1_M2_D_92.mat,Cc1cc(NC(=O)[C@H]2CCOc3ccccc32)c2ncccc2c1
92,93,FRCSO_N100_DDProblem1_M2_D_93.mat,CC[C@]1(c2ccccc2)NC(=O)N(CCOc2ccc(Cl)cc2Cl)C1=O
93,94,FRCSO_N100_DDProblem1_M2_D_94.mat,CCOC(=O)C(C)(C)c1nc(-c2ccccc2)no1
94,95,FRCSO_N100_DDProblem1_M2_D_95.mat,C[NH2+]C[C@@H]1C[C@@H]1c1c(F)cccc1Cl
95,96,FRCSO_N100_DDProblem1_M2_D_96.mat,O=S(=O)(NC[C@H](O)c1ccc(C(F)(F)F)cc1)c1cc(F)ccc1F
96,97,FRCSO_N100_DDProblem1_M2_D_97.mat,Cc1ccc(S(=O)(=O)N2CCCC[C@@H]2CCNC(=O)Cc2ccc(Cl)cc2)cc1
97,98,FRCSO_N100_DDProblem1_M2_D_98.mat,CC[C@H](C#N)Oc1ccc(CO)nc1
98,99,FRCSO_N100_DDProblem1_M2_D_99.mat,Cc1ccc(NC(=O)[C@@H]2CCCCC[C@H]2[NH3+])c(F)c1
99,100,FRCSO_N100_DDProblem1_M2_D_100.mat,COc1ccc(CNC(=O)NC[C@@H](C)[NH+]2CCc3sccc3C2)cn1
100,101,FRCSO_N100_DDProblem1_M2_D_101.mat,O=C(N[C@@H]1CCCc2ccccc21)[C@@H]1CCCN1S(=O)(=O)c1ccccc1C(F)(F)F
101,102,FRCSO_N100_DDProblem1_M2_D_102.mat,CC1=NC(SCC(=O)Nc2ccccc2C(F)(F)F)=NC(=O)[C@H]1Cc1ccccc1
102,103,FRCSO_N100_DDProblem1_M2_D_103.mat,CSCC[NH2+]Cc1nc(C)c(C)s1
103,104,FRCSO_N100_DDProblem1_M2_D_104.mat,Cn1nc(C(C)(C)C)cc1C(=O)NCCc1nc(-c2ccc(Cl)cc2)no1
104,105,FRCSO_N100_DDProblem1_M2_D_105.mat,COc1ccc(CCNC(=O)[C@@H]2CCCN2C(=O)Nc2cccc(OC)c2)cc1
105,106,FRCSO_N100_DDProblem1_M2_D_106.mat,CCOC(=O)[C@]1(Cc2cccc(Cl)c2)CCCN(C(=O)c2ccnn2C)C1
106,107,FRCSO_N100_DDProblem1_M2_D_107.mat,COc1cccc(N2C(=O)C[C@@H](N3CCN(c4ccc5c(c4)OCO5)CC3)C2=O)c1
107,108,FRCSO_N100_DDProblem1_M2_D_108.mat,CC(C)[C@@]1(CC2CCOCC2)CCC[NH2+]1
108,109,FRCSO_N100_DDProblem1_M2_D_109.mat,Cc1nccn1-c1ccc(C[NH2+][C@@H](C)c2ccccc2N(C)C)cc1F
109,110,FRCSO_N100_DDProblem1_M2_D_110.mat,CO[C@]1(C)C[C@H](NC(=O)NCc2ccnc(OCC(F)F)c2)C1(C)C
110,111,FRCSO_N100_DDProblem1_M2_D_111.mat,COC[C@@H](C)NC(=O)N[C@@H](C(N)=O)c1ccccc1
111,112,FRCSO_N100_DDProblem1_M2_D_112.mat,Cc1oc(-c2ccccc2)nc1CCNC(=O)c1ccc([S@@](C)=O)cc1
112,113,FRCSO_N100_DDProblem1_M2_D_113.mat,CC[NH+]1CCC[C@@H]1CN(C)S(=O)(=O)c1cccc(C[NH3+])c1
113,114,FRCSO_N100_DDProblem1_M2_D_114.mat,O=c1n(CCO)c2ccccc2n1CCO
114,115,FRCSO_N100_DDProblem1_M2_D_115.mat,COc1cccc([C@@H](NC(=O)[C@@H](C)c2ccsc2)c2nccn2C)c1
115,116,FRCSO_N100_DDProblem1_M2_D_116.mat,C[NH+]1CCC(NC(=O)C(=O)Nc2ccc(OC3CCCC3)cc2)CC1
116,117,FRCSO_N100_DDProblem1_M2_D_117.mat,O=C(NNc1cccc(C(F)(F)F)c1)c1cccc2cccnc12
117,118,FRCSO_N100_DDProblem1_M2_D_118.mat,O=S(=O)(c1ccc2c(ccn2Cc2ccccc2)c1)N1CCC[NH2+]CC1
118,119,FRCSO_N100_DDProblem1_M2_D_119.mat,C[C@@H]1CCC[C@@H]1[NH2+][C@@H]1CCCS[C@@H]1C
119,120,FRCSO_N100_DDProblem1_M2_D_120.mat,O=C(NCc1ccc([N+]2=CCCC2)cc1)NC1(c2ccc(Cl)cc2)CC1
120,121,FRCSO_N100_DDProblem1_M2_D_121.mat,Cc1cc(-n2c(C)cc(C[NH2+][C@H](C)c3ccc(F)c(F)c3)c2C)no1
121,122,FRCSO_N100_DDProblem1_M2_D_122.mat,COc1ccc(SCC(=O)Nc2ccc(N3CC[NH+](C)CC3)c(F)c2)cc1
122,123,FRCSO_N100_DDProblem1_M2_D_123.mat,C[C@@H](COc1ccccc1)OC(=O)[C@H]1CCCN(C(=O)c2cccs2)C1
123,124,FRCSO_N100_DDProblem1_M2_D_124.mat,O=C1O[C@H](C(=O)Nc2ccnc3ccnn23)Cc2ccccc21
124,125,FRCSO_N100_DDProblem1_M2_D_125.mat,CNC(=O)CN1CCN(C(=O)c2nc(C)n[nH]2)CC1
125,126,FRCSO_N100_DDProblem1_M2_D_126.mat,CC(C)[C@@H](CO)Nc1ccc(N)cc1Br
126,127,FRCSO_N100_DDProblem1_M2_D_127.mat,COc1ccc(CNC(=O)c2cc(N3C(=O)C(C)(C)CS3(=O)=O)ccc2Cl)cc1OC
127,128,FRCSO_N100_DDProblem1_M2_D_128.mat,CCc1cccc(S(=O)(=O)Nc2cccc(-c3nnnn3C)c2)c1
128,129,FRCSO_N100_DDProblem1_M2_D_129.mat,CC[NH+](CC)c1ccc(/C=C2\Oc3c(ccc(OCC(N)=O)c3C)C2=O)cc1
129,130,FRCSO_N100_DDProblem1_M2_D_130.mat,Cc1ccsc1CNC(=O)CCCC[NH3+]
130,131,FRCSO_N100_DDProblem1_M2_D_131.mat,CCC[C@@H]1CC[C@H](C[NH3+])[C@H]([NH+]2C[C@@H](C)C[C@@H](C)C2)C1
131,132,FRCSO_N100_DDProblem1_M2_D_132.mat,C[C@H](O)CC#CC[NH+]1CCC[C@H](c2cccnc2)C1
132,133,FRCSO_N100_DDProblem1_M2_D_133.mat,COc1cc([C@@H]2NC(=O)c3cccnc3N2)ccc1O
133,134,FRCSO_N100_DDProblem1_M2_D_134.mat,Cc1ccc(NC(=O)CNc2ccc(C(=O)N3C[C@@H](C)O[C@H](C)C3)cc2)c(Br)c1
134,135,FRCSO_N100_DDProblem1_M2_D_135.mat,O=C1NCCN(C(=O)CCc2ccccc2)[C@@H]1CC(=O)N1CCN(c2ccccc2)CC1
135,136,FRCSO_N100_DDProblem1_M2_D_136.mat,COC[C@H](O)CCCC(F)(F)F
136,137,FRCSO_N100_DDProblem1_M2_D_137.mat,CC(C)N(C)C(=O)[C@H]1CSCN1C(=O)/C=C/SCc1ccco1
137,138,FRCSO_N100_DDProblem1_M2_D_138.mat,O=C(NCCNS(=O)(=O)c1cccc(Cl)c1)C12CC3CC(CC(C3)C1)C2
138,139,FRCSO_N100_DDProblem1_M2_D_139.mat,COC(=O)c1c(NC(=O)c2cccc(OC)c2)sc(C(=O)NC(C)C)c1C
139,140,FRCSO_N100_DDProblem1_M2_D_140.mat,Cc1ccc(S(=O)(=O)Nc2nc3ccccc3nc2N2CCCC2)cc1
140,141,FRCSO_N100_DDProblem1_M2_D_141.mat,Cc1ccc(CN(C(=O)N[C@H](C)c2nnc3ccccn23)C2CC2)cc1C
141,142,FRCSO_N100_DDProblem1_M2_D_142.mat,O=C(Nc1cccc2ccccc12)NC1CC[NH+](CC(F)F)CC1
142,143,FRCSO_N100_DDProblem1_M2_D_143.mat,Cc1cc(C)c(NC(=O)c2cc3ccccc3n2C)c(C)c1
143,144,FRCSO_N100_DDProblem1_M2_D_144.mat,CN(C(=O)c1ccn(C)n1)[C@H](Cc1ccccc1)C1CCN(C(=O)C2=CCCC2)CC1
144,145,FRCSO_N100_DDProblem1_M2_D_145.mat,CC(C)NS(=O)(=O)c1ccc(C(=O)N[C@H](C)c2ccccc2Br)cc1
145,146,FRCSO_N100_DDProblem1_M2_D_146.mat,CCOc1ncnc(S(=O)(=O)CC)c1N
146,147,FRCSO_N100_DDProblem1_M2_D_147.mat,Nc1ccc(Cl)c(S(=O)(=O)N2CCN3C(=O)NC[C@H]3C2)c1
147,148,FRCSO_N100_DDProblem1_M2_D_148.mat,CCC1CCC(C[NH2+][C@@H]2CCC[C@H]2[C@@H]2CCCC[NH2+]2)CC1
148,149,FRCSO_N100_DDProblem1_M2_D_149.mat,CC[NH+]1CCN(C(=O)C2CC[NH+](Cc3ccccc3F)CC2)CC1
149,150,FRCSO_N100_DDProblem1_M2_D_150.mat,COc1ccc2nc(Nc3ccc4c(c3)CCC4)sc2c1
150,151,FRCSO_N100_DDProblem1_M2_D_151.mat,CC(C)C[C@H]1[NH2+][C@]2(C(=O)Nc3ccc(F)cc32)[C@@H]2C(=O)N(C(C)(C)C)C(=O)[C@H]12
151,152,FRCSO_N100_DDProblem1_M2_D_152.mat,CN(C(=O)CCOc1cccc(C(N)=O)c1)[C@H]1CCC[NH+](C)C1
152,153,FRCSO_N100_DDProblem1_M2_D_153.mat,Cc1occc1C(=O)NC1CCN(C(=O)C(=O)Nc2ccc(F)cc2F)CC1
153,154,FRCSO_N100_DDProblem1_M2_D_154.mat,CC[S@](=O)[C@H]1CCCC[C@@H]1NC(=O)NC[C@H](O)c1ccco1
154,155,FRCSO_N100_DDProblem1_M2_D_155.mat,CNC(=S)N1CCCN(c2ccc(C#N)cn2)CC1
155,156,FRCSO_N100_DDProblem1_M2_D_156.mat,Cc1c(Cl)cccc1S(=O)(=O)NC[C@@H](C)CN1CC[NH+](C)CC1
156,157,FRCSO_N100_DDProblem1_M2_D_157.mat,COc1cccc(CCNC(=O)CN2CCN(c3ccccc3O)CC2)c1
157,158,FRCSO_N100_DDProblem1_M2_D_158.mat,Cc1cc(C)c2nc(C3CC3)cc(C(=O)NCCCC(=O)NC3CC3)c2c1
158,159,FRCSO_N100_DDProblem1_M2_D_159.mat,Cc1nccn1-c1cc(N2CCC(C(=O)Nc3ccc(F)c(F)c3)CC2)ncn1
159,160,FRCSO_N100_DDProblem1_M2_D_160.mat,CCN(CC)c1ccc([C@@H]2C3=C([O-])CCCC3=NC3=NC(SC)=NC(=O)[C@@H]32)cc1
160,161,FRCSO_N100_DDProblem1_M2_D_161.mat,Cc1cnn(CCCCC[NH+]2CCN(c3ccc(O)cc3)CC2)c1
161,162,FRCSO_N100_DDProblem1_M2_D_162.mat,O=C(Nc1ccc(O)cc1)c1ccsc1
162,163,FRCSO_N100_DDProblem1_M2_D_163.mat,C[C@@H](OC(=O)[C@@H]1C[C@@H]1c1ccc(OC(F)(F)F)cc1)c1ccccn1
163,164,FRCSO_N100_DDProblem1_M2_D_164.mat,O=C(Cc1ccc(N2CCCC2=O)cc1)Nn1cnc2ccccc2c1=O
164,165,FRCSO_N100_DDProblem1_M2_D_165.mat,CCO[C@@H]1C[C@@H]([NH+](C)C[C@@H]2CCCN(S(C)(=O)=O)C2)C12CCCCC2
165,166,FRCSO_N100_DDProblem1_M2_D_166.mat,CC[NH2+][C@H](Cc1ncnn1C)C1([NH+]2CCCC2)CCCC1
166,167,FRCSO_N100_DDProblem1_M2_D_167.mat,Oc1cccc([C@@H]2CN(c3nccc(Oc4ccc(F)cc4)n3)CCO2)c1
167,168,FRCSO_N100_DDProblem1_M2_D_168.mat,CC(=O)NCCn1c(SCC(=O)[O-])nc2cccnc21
168,169,FRCSO_N100_DDProblem1_M2_D_169.mat,Cc1cc(C)c2nc(N3CCN(C(=O)[C@@H]4CCCCN4S(C)(=O)=O)CC3)sc2c1
169,170,FRCSO_N100_DDProblem1_M2_D_170.mat,Cc1cnn(CCCNC(=O)N2CCCC[C@H](N3CC[NH+](C)CC3)C2)c1
170,171,FRCSO_N100_DDProblem1_M2_D_171.mat,CN(Cc1nc2c(s1)CCCC2)C(=O)[C@@H]1CCN(c2ccccc2)C1=O
171,172,FRCSO_N100_DDProblem1_M2_D_172.mat,CCc1nnc(NC(=O)c2ccc(Oc3cccc(C)c3)cc2)s1
172,173,FRCSO_N100_DDProblem1_M2_D_173.mat,CC[C@@H]([NH2+][C@@H]1C[C@H](c2ccccc2)Oc2ccccc21)c1c(C)noc1C
173,174,FRCSO_N100_DDProblem1_M2_D_174.mat,CC[NH2+]Cc1c(C)nn(C)c1N1CCN2C(=O)NC[C@@H]2C1
174,175,FRCSO_N100_DDProblem1_M2_D_175.mat,C=CCOc1c(Br)cc(CN(C)[C@H]2CC[NH+](C)[C@H](C)C2)cc1OC
175,176,FRCSO_N100_DDProblem1_M2_D_176.mat,COc1cccc(COc2ccc(OC)cc2CCl)c1
176,177,FRCSO_N100_DDProblem1_M2_D_177.mat,C[C@H](CCc1ccccc1F)[NH2+]CCc1nc2cc(F)ccc2n1C
177,178,FRCSO_N100_DDProblem1_M2_D_178.mat,O=C(Cn1c(=O)oc2cc(Cl)ccc21)N1CCC[C@@H]1c1cccs1
178,179,FRCSO_N100_DDProblem1_M2_D_179.mat,[NH3+][C@H](Cc1ccc(O)cc1)c1ncccn1
179,180,FRCSO_N100_DDProblem1_M2_D_180.mat,CCOC(=O)NCCC(=O)N[C@H]1CCc2c(O)cccc21
180,181,FRCSO_N100_DDProblem1_M2_D_181.mat,C[C@@H]1CN(Cc2cnc3cnccn23)[C@H](c2ccccc2)CO1
181,182,FRCSO_N100_DDProblem1_M2_D_182.mat,CCC(C)(C)NC(=O)[C@@H](C)Oc1ccc(C[C@H](C)[NH3+])nc1
182,183,FRCSO_N100_DDProblem1_M2_D_183.mat,N#Cc1ccc(OCC(=O)Nc2ccccc2N2CCc3ccccc32)cc1
183,184,FRCSO_N100_DDProblem1_M2_D_184.mat,Cc1ccc(CCN(C)CC[NH+]2CCCC2)cc1
184,185,FRCSO_N100_DDProblem1_M2_D_185.mat,CCOc1ccc(C[NH+]2CCC[C@H]([C@H](O)c3nccn3C)C2)cc1OC
185,186,FRCSO_N100_DDProblem1_M2_D_186.mat,C[C@H](NC(=O)NC[C@H](C)C[C@@H](C)O)c1ccc(S(C)(=O)=O)cc1
186,187,FRCSO_N100_DDProblem1_M2_D_187.mat,CC[C@@H](c1ccccc1)[C@H]1N=N/C(=N/C(=O)Nc2ccc(OC)cc2)S1
